animeTitle	b'Twin Signal: Family Game'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.34
animeUsers	687
animeRank	
animePopularity	
animeDescription	"b""Signal, a robot companion built for Nobuhiko, is attacked by Pulse, one the its creator's previous prototypes. Reprogrammed by Dr. Otoi's mysterious rival, Pulse is loaded down with weapons and sent on a mission by Otoi: steal the most recent robot technology, and obliterate anything that gets in his way. \n\n(Source: ANN)"""
animeRelated	[b'Twin Signal']
animeCharacters	[b'Signal', b'Pulse', b'Elara', b'Otoi, Nobuhiko', b'Sine, Chris', b'Assistant A', b'Assistant B', b'Flag', b'Umenokouji, Hoshimaro', b'Otoi, Minoru']
animeVoices	[b'\nOotani, Ikue\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n', b'\nShiratori, Yuri\nJapanese\n', b'\nMatsumoto, Rica\nJapanese\n', b'\nAmano, Yuri\nJapanese\n', b'\nOnosaka, Masaya\nJapanese\n', b'\nKujira\nJapanese\n', b'\nToyoshima, Masami\nJapanese\n', b'\nNishikawa, Ikuo\nJapanese\n', b'\nNishihara, Kumiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSasaki, Toshiko\n\nAnimation Director, Character Design\n\n', b'\nOkabe, Jun\n\nBackground Art\n\n', b'\nSeki, Kazuhiko\n\nEditing\n\n']
