animeTitle	Ohayou Ninja-tai Gatchaman
animeType	TV
animeNumEpisode	475
releaseDate	
endDate	
animeNumMembers	
animeScore	5.8
animeUsers	106
animeRank	
animePopularity	12275
animeDescription	"One-minute flash shorts based on Tatsunoko Production's classic science-fiction hero series Science Ninja Team Gatchaman aired during the NTV's Zip! television program on mornings.

(Source: AniDB)"
animeRelated	['Kagaku Ninja-tai Gatchaman', 'Mazinger ZIP!']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
