animeTitle	b'Kougyou Aika Volley Boys'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""In a mix of Field of Dreams and Ping Pong Club, sex-starved teenage boys at Kudo High School sign up for the girls' volleyball team hoping that if they build it, the girls will come, to a year that has no girls in it at all.\n\n(Source: ANN)"""
animeRelated	[b'\xe5\xb7\xa5\xe6\xa5\xad\xe5\x93\x80\xe6\xad\x8c\xe3\x83\x90\xe3\x83\xac\xe3\x83\xbc\xe3\x83\x9c\xe3\x83\xbc\xe3\x82\xa4\xe3\x82\xba']
animeCharacters	[b'Taniguchi']
animeVoices	[b'\nTakagi, Wataru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYuyama, Kunihiko\n\nDirector\n\n', b'\nMurata, Hiroyuki\n\nOriginal Character Design, Original Creator\n\n']
