animeTitle	King of Prism by Pretty Rhythm
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	1952
animeRank	
animePopularity	6040
animeDescription	"The unit Over The Rainbow succeeds in its debut. Aiming to become like the boy band, more students enroll in Edel Rose. Hiro and the others begin practice for the Prism King Cup, an event that is held once every four years. However, a rival called ""Schwarz Rose"" appears... Who will become the Prism King, the one who can make girls' hearts throb the most!?

(Source: ANN)"
animeRelated	['Kinpri!', 'Pretty Rhythm: Rainbow Live', 'King of Prism by Pretty Rhythm Short Anime', 'King of Prism: Shiny Seven Stars I - Prologue x Yukinojou x Taiga', 'King of Prism: Pride the Hero']
animeCharacters	['Hayami, Hiro', 'Kisaragi, Louis', 'Mihama, Kouji', 'Nishina, Kazuki', 'Ichijou, Shin', 'Kougami, Taiga', 'Yamato, Alexander', 'Tachibana, Yukinojou', 'Amou, June', 'Juuouin, Kakeru']
animeVoices	['Maeno, Tomoaki', 'Aoi, Shouta', 'Kakihara, Tetsuya', 'Masuda, Toshiki', 'Terashima, Junta', 'Hatanaka, Tasuku', 'Takeuchi, Shunsuke', 'Saitou, Souma', 'Yashiro, Taku']
animeStaff	[['Hishida, Masakazu', 'Director, Script'], ['Aoba, Jou', 'Script'], ['Uchida, Yuuma', 'Theme Song Performance'], ['Saitou, Souma', 'Theme Song Performance']]
