animeTitle	Hakushon Daimaou 2020
animeType	TV
animeNumEpisode	20
releaseDate	
endDate	
animeNumMembers	
animeScore	6.06
animeUsers	118
animeRank	
animePopularity	12038
animeDescription	50 years have passed since the events of the original Hakushon Daimaou series. Akubi is training to become queen when she meets Kantarou Yodama, the grandson of the genie bottle's original owner, Kan-chan. Together, Akubi and Kantarou take on many jobs in the human world and learn the importance of having a dream.
animeRelated	['Hakushon Daimaou', 'Ohayou Hakushon Daimaou']
animeCharacters	['Hakushon Daimaou', 'Yodayama, Kantarou', 'Akubi', 'Yodayama, Kanichi', 'Gondawara, Genki', 'Kaneamari, Yumizu', 'Yumemigachi, Nanako', 'Manfukuzaka, Mitsuru', 'Yodayama, Takashi', 'Puuta']
animeVoices	['Yamadera, Kouichi', 'Shimabukuro, Miyuri', 'Morohoshi, Sumire', 'Furukawa, Toshio', 'Oohata, Shintarou', 'Seki, Tomokazu', 'Izawa, Shiori', 'Okamoto, Nobuhiko', 'Muramoto, Kyoutarou', 'Yamashita, Daiki']
animeStaff	[['Kidokoro, Seimei', 'Storyboard'], ['Nakagawa, Shoko', 'Theme Song Performance'], ['Shimazaki, Takamitsu', 'Music'], ['Yoshioka, Ayano', '2nd Key Animation']]
