animeTitle	Kotonoha no Niwa
animeType	Movie
animeNumEpisode	1
releaseDate	2013-05-31 00:00:00
endDate	
animeNumMembers	699126
animeScore	7.95
animeUsers	421790
animeRank	620
animePopularity	187
animeDescription	"On a rainy morning in Tokyo, Takao Akizuki, an aspiring shoemaker, decides to skip class to sketch designs in a beautiful garden. This is where he meets Yukari Yukino, a beautiful yet mysterious woman, for the very first time. Offering to make her new shoes, Takao continues to meet with Yukari throughout the rainy season, and without even realizing it, the two are able to alleviate the worries hidden in their hearts just by being with each other. However, their personal struggles have not disappeared completely, and as the end of the rainy season approaches, their relationship will be put to the test.

[Written by MAL Rewrite]"
animeRelated	['Kotonoha no Niwa']
animeCharacters	['Yukino, Yukari', 'Akizuki, Takao', 'Aizawa', 'Matsumoto', 'Akizuki, Shouta', 'Teramoto, Rika', 'Itou, Souichirou', 'Akizuki, Satomi', 'Satou']
animeVoices	['Hanazawa, Kana', 'Irino, Miyu', 'Komatsu, Mikako', 'Inoue, Suguru', 'Maeda, Takeshi', 'Terasaki, Yuka', 'Hoshino, Takanori', 'Hirano, Fumi', 'Han, Megumi']
animeStaff	[['Kawaguchi, Noritaka', 'Producer'], ['Shinkai, Makoto', 'Director, Script, Storyboard, Color Design, Editing, Director of Photography'], ['Yamada, Haru', 'Sound Director'], ['Hata, Motohiro', 'Theme Song Performance']]
