animeTitle	Ojamajo Doremi Dokkaan!
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	7.62
animeUsers	5727
animeRank	
animePopularity	4677
animeDescription	"Hana now becomes a peer of the Ojamajo. When Majotourbillon's spirit revives, the witches now have to break her curse. From the help from Pao-chan, Doremi, Hana, and the other witches are able to defeat the curses. 

(Source: ANN)"
animeRelated	['Motto! Ojamajo Doremi']
animeCharacters	['Harukaze, Doremi', 'Segawa, Onpu', 'Asuka, Momoko', 'Senoo, Aiko', 'Makihatayama, Hana', 'Fujiwara, Hazuki', 'Majorika', 'Harukaze, Pop', 'Tamaki, Reika', 'Oyajide, Alexander T.']
animeVoices	['Chiba, Chiemi', 'Shishido, Rumi', 'Miyahara, Nami', 'Matsuoka, Yuki', 'Ootani, Ikue', 'Akiya, Tomoko', 'Nagasawa, Nao', 'Ishige, Sawa', 'Nagano, Ai', 'Kanemitsu, Nobuaki']
animeStaff	[['Seki, Hiromi', 'Producer'], ['Shibata, Hiroaki', 'Assistant Producer'], ['Igarashi, Takuya', 'Director'], ['Hosoda, Mamoru', 'Episode Director, Storyboard']]
