animeTitle	Lupin III: Otakara Henkyaku Daisakusen!!
animeType	Special
animeNumEpisode	1
releaseDate	2003-08-01 00:00:00
endDate	
animeNumMembers	
animeScore	7.34
animeUsers	2207
animeRank	
animePopularity	6598
animeDescription	"After robbing a Moscow casino right under Zenigata's nose, Lupin sets his sights on stealing the Trick Diamond. He and Jigen head to the estate of the recently deceased Mark Williams, another master thief who's had the diamond, as well as other treasures, in his possession for years. However, instead of finding the diamond, Lupin & Jigen find Fujiko, who tells them about Mark's dying wish - Lupin must return all the treasures the old thief stole to their rightful place. If this is done in time, the location of the diamond will be revealed, and Lupin can use it to get the real treasure, hidden in Gaudí's Sagrada Familia. Returning the stolen goods isn't easy though, as Zenigata and the casino boss' ruthless gang are on Lupin and friends' tail. 

(Source: ANN)"
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Masuyama, Eiko', 'Inoue, Makio', 'Naya, Gorou']
animeStaff	[['Kawagoe, Jun', 'Director'], ['Sano, Takashi', 'Episode Director'], ['Imaishi, Hiroyuki', 'Key Animation'], ['Monkey Punch', 'Original Creator']]
