animeTitle	Gokinjo Monogatari the Movie
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	687
animeRank	
animePopularity	8591
animeDescription	"An alternate retelling of the beginning of the original series.

Mikako and Tsutomu lived next door to each other since they were little. They both attend an art school, where Mikako is pursuing her dream of being a fashion designer.

They formed a club called Akindo with several of their friends. Akindo participates in flea markets, where they sell their creations—clothes, dolls, and artwork."
animeRelated	['Gokinjo Monogatari']
animeCharacters	['Kouda, Mikako', 'Yamaguchi, Tsutomu', 'Kanzaki, Risa', 'Nakasu, Mariko', 'Tashiro, Yuusuke', 'Oota, Mai', 'Oikawa, Ayumi', 'Kouda, Ruriko', 'Nishino, Jiro', 'Nakasu, Shintaro']
animeVoices	['Niiyama, Shiho']
animeStaff	[['Shimizu, Junji', 'Director'], ['Shishido, Rumi', 'Theme Song Performance'], ['Yazawa, Ai', 'Original Creator'], ['Seki, Hiromi', 'Planning']]
