animeTitle	Koukou Tekken-den Tough
animeType	OVA
animeNumEpisode	3
releaseDate	2002-01-31 00:00:00
endDate	2002-04-26 00:00:00
animeNumMembers	
animeScore	6.95
animeUsers	1411
animeRank	
animePopularity	7748
animeDescription	"Years ago there was an underground match between Pro Wrestling and Nanshin Shadow Stlye (a secret and deadly form of martial arts) to see which form of martial arts was dominant, The Nanshin Shadow style came out victorious in the battle. Now in the present, the man who was defending Pro-Wrestling is back and is out to destroy Nanshin Shadow style in any way he can; however, it is now up to Kiichi, the son of the previous victor to defend the name of Nanshin Shadow style and it is his job to keep it from being completely erased from existance.

(Source: ANN)"
animeRelated	['Koukou Tekkenden Tough']
animeCharacters	['Miyazawa, Kiichi', 'Miyazawa, Seiko', 'Kiba, Iron', 'Kuroda, Mitsuhide']
animeVoices	['Iwata, Mitsuo', 'Wakamoto, Norio', 'Sugita, Tomokazu']
animeStaff	[['Nishimoto, Yukio', 'Director'], ['Ohata, Koichi', 'Storyboard'], ['Saruwatari, Tetsuya', 'Original Creator'], ['Kizaki, Fuminori', 'Character Design, Chief Animation Director']]
