animeTitle	Inuwari-san
animeType	Special
animeNumEpisode	1
releaseDate	2009-03-18 00:00:00
endDate	
animeNumMembers	133
animeScore	
animeUsers	
animeRank	16316
animePopularity	17269
animeDescription	"The pilot of Inuwari-san, it was originally meant to be a TV series before being canceled. The pilot was screened at the 2009 Tokyo International Anime Fair and developed as part of Miyagi Prefecture's Miyagi e-Brand Establishment Support Project.

Inuwari-san is a canine (inu) police officer (omawari-san) who loves law, order, and tea. Inuwari-san vows to be the infalliable ""sweeper of evil."" 

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
