animeTitle	Armitage III: Dual-Matrix
animeType	Movie
animeNumEpisode	1
releaseDate	2002-06-25 00:00:00
endDate	
animeNumMembers	
animeScore	6.85
animeUsers	8783
animeRank	
animePopularity	4371
animeDescription	"A few years after they first met, Naomi Armitage and Ross Syllabus have started a family. Despite their normal lives, they must keep their identities a secret because many people believe that Robots do not deserve equal status with humans. Ross has an opportunity to abolish these ideas on Earth through a vote, but organizations in the shadows are working so that it doesn't happen.

(Source: ANN)"
animeRelated	['Armitage III']
animeCharacters	['Armitage, Naomi', 'Sylibus, Ross', 'Moore, Julian', 'Sylibus, Yoko', 'Security Manager', 'Lawyer', 'Chairman', 'Hitman', 'Security Watchman', 'Mischook, Richard ']
animeVoices	['Yuzuki, Ryouka', 'Hanada, Hikaru', 'Saiga, Mitsuki', 'Imai, Yuka']
animeStaff	[['Kawase, Kouhei', 'Producer'], ['Hasegawa, Yasuo', 'Producer'], ['Akiyama, Katsuhito', 'Director, Storyboard'], ['Bessho, Makoto', 'Director']]
