animeTitle	b'Xiong Chumo: Chunri Dui Dui Peng'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Fourth season of Boonie Bears.\n\nNow that spring is in the air, the forest animals are back to frolicking amongst the freshly blooming flowers and busy at work planting new trees to add even more color to their luscious home. The bear brothers\xe2\x80\x94Briar and Bramble, and all their friends are having a jolly great time basking in this colorful season; however, from time to time, they stumble across Logger Vick who will not give up. The bears, along with their little friends make it their mission to protect the forest. This always results in a lot of laughter, tears and of course, adventures aplenty!\n\n(Source: Official website)'
animeRelated	[b'Xiong Chumo: Duo Bao Xiong Bing', b'Xiong Chumo: Xue Ling Xiong Feng', b'Xiong Chumo: Conglin Zong Dong Yuan', b'Xiong Chumo: Dongri Le Fantian']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
