animeTitle	Muteki Robo Trider G7
animeType	TV
animeNumEpisode	50
releaseDate	1980-02-02 00:00:00
endDate	1981-01-03 00:00:00
animeNumMembers	1059
animeScore	6.4
animeUsers	277
animeRank	6692
animePopularity	11009
animeDescription	"Takeo Watta inherits a company upon his father's death. The company focuses on space travel, and the transformable robot Trider-G7 is their greatest creation. When an evil space organization lead by Lord Zakuron starts attacking Earth, Watta has to use Trider in a more combat-oriented way.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Watta, Takeo', 'Takeo, Kayo', 'Adachi', 'Donma', 'Yar', 'Jilva', 'Dulcin', 'Cloud', 'Jackal', 'Zulu']
animeVoices	['Majima, Satomi', 'Akimoto, Chikako', 'Ogata, Kenichi', 'Takiguchi, Junpei', 'Wakamoto, Norio', 'Mutou, Reiko', 'Sawa, Ritsuo', 'Matsuoka, Fumio', 'Sasaoka, Shigezou', 'Chiba, Shigeru']
animeStaff	[['Chiba, Kouichi', 'Sound Director'], ['Kase, Mitsuko', 'Episode Director'], ['Hoshiyama, Hiroyuki', 'Script'], ['Matsuzaki, Kenichi', 'Script, Screenplay']]
