animeTitle	b'Kagirohi: Shaku Kei'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.0
animeUsers	1680
animeRank	
animePopularity	
animeDescription	"b'The story takes place in a small village. A girl, Ajisai, transferred to the village one month ago. The main character is Aoi. He always watches Ajisai being alone. One day, when he is at school, Ajisai tells him, ""Let\'s play a game."" Her offer changes everything around him.\n\nAjisai, Kaede, Sanoou, and Sumire. The story goes as their thoughts mix with each other...\n\n(Source: ErogeShop)'"
animeRelated	[b'Kagirohi: Shaku Kei - Another']
animeCharacters	[b'Minasuki, Ajisai']
animeVoices	[b'\nIchimura, Oma\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYokoyama, Hiromi\n\nDirector\n\n', b'\nMatsui, Shinya\n\nDirector of Photography\n\n']
