animeTitle	Natsu-iro no Sunadokei
animeType	OVA
animeNumEpisode	2
releaseDate	2004-05-21 00:00:00
endDate	2004-07-23 00:00:00
animeNumMembers	
animeScore	6.51
animeUsers	3269
animeRank	
animePopularity	5821
animeDescription	"Makimura Koutarou has made up his mind: during the summer vacation, he is going to confess his love to the seemingly unapproachable Serizawa Kaho. Yet, on the night before, he has a run-in with a strange girl - an encounter which propels him into the future. There, he learns that not only has Kaho-chan become his girlfriend, but she has also died in a tragic accident. Returning to his own time, Koutarou sets out to change the future and save his love.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Serizawa, Kaho', 'Makimura, Koutarou', 'Yanagihara, Tomomi', 'Ligene', 'Tokieda, Takeshi', 'Serizawa, Gahaku', 'Kawamura, Mana', 'Senou, Ai']
animeVoices	['Mizuki, Nana', 'Ogihara, Hideki', 'Inoue, Kikuko', 'Orikasa, Fumiko', 'Takahashi, Hiroki', 'Ichijo, Kazuya', 'Aikawa, Rikako', 'Kurata, Masayo']
animeStaff	[['Mizuki, Nana', 'Theme Song Performance'], ['Shikura, Chiyomaru', 'Theme Song Lyrics, Theme Song Composition'], ['UNDER17', 'Theme Song Performance'], ['Miyamae, Mitsuharu', 'Art Director']]
