animeTitle	b'Manin Densha'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.26
animeUsers	1842
animeRank	
animePopularity	
animeDescription	b'While riding the train, some girls get into trouble.'
animeRelated	[b'Manin Densha']
animeCharacters	[b'Miwa, Haruka', b'Nanase, Yuzu', b'Sendou, Sayaka']
animeVoices	[b'\nKawaragi, Shiho\nJapanese\n', b'\nTanii, Asuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYokoyama, Hiromi\n\nDirector\n\n', b'\nKawasaki, Kurou\n\nDirector\n\n', b'\nTokita, Banzou\n\nDirector\n\n', b'\nBishop\n\nOriginal Creator\n\n']
