animeTitle	b'Ladyspo'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	3.29
animeUsers	651
animeRank	
animePopularity	
animeDescription	b'A science-fiction comedy where various pro sports bounty hunters fight each other in sporting events. The story centers on Arigetti, Korupi, and Sabina, three women in a team who participate in various sports.'
animeRelated	[]
animeCharacters	[b'Mokomoko', b'Sabina', b'Korupi', b'Arigetti']
animeVoices	[b'\nKinoshita, Suzuna\nJapanese\n', b'\nUehara, Akari\nJapanese\n', b'\nShimada, Saki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKimura, Hiroshi\n\nDirector, Script, Storyboard, Series Composition\n\n', b'\nShibata, Katsutoshi\n\nSound Director\n\n', b'\nKusuda, Aina\n\nTheme Song Performance\n\n', b'\nKanayama, Keisei\n\nEditing\n\n']
