animeTitle	Kikansha Sensei
animeType	Movie
animeNumEpisode	1
releaseDate	1997-03-29 00:00:00
endDate	
animeNumMembers	244
animeScore	
animeUsers	
animeRank	16718
animePopularity	15355
animeDescription	"The story depicts the interaction of the children of the island and their teacher, Yoshioka Makotoware who is unable to speak because of a childhood accident. 

A movie based on the best-selling novel by Shizuka Ijuin."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
