animeTitle	b'Ikusa Otome Valkyrie G'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	1269
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Ikusa Otome Valkyrie G: Ikusa Otome-tachi no Tasogare', b'Ikusa Otome Valkyrie 2']
animeCharacters	[b'Leia', b'Aliya', b'Duke', b'Hildegard', b'Loki', b'Fafnir']
animeVoices	[b'\nHonma, Yukari\nJapanese\n', b'\nTanaka, Ryouko\nJapanese\n', b'\nMajima, Junji\nJapanese\n', b'\nKobayashi, Maki\nJapanese\n', b'\nMizusawa, Kei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nRaika, Ken\n\nDirector\n\n', b'\nDoshida, Tomoaki\n\nStoryboard\n\n', b'\nLune\n\nOriginal Creator\n\n', b'\nTamaru, Makoto\n\nOriginal Character Design\n\n']
