animeTitle	Honoo no Haramase Doukyuusei
animeType	OVA
animeNumEpisode	2
releaseDate	2008-12-25 00:00:00
endDate	2009-06-25 00:00:00
animeNumMembers	7528
animeScore	6.62
animeUsers	2373
animeRank	
animePopularity	5953
animeDescription	Kazuya is a high school student. He is forced to move to a school dormitory because his parents have gone abroad on business, and they sold their house before leaving Japan. But, his school has no boys' dormitory, so he begins to live at a girls' dormitory. One day, he secretly peeks into the school sick-room while girls are under regular physical checkup, and he is surprised at their erotic breasts. He makes a vow to get their bodies and breasts....
animeRelated	['Honoo no Haramase Doukyuusei', 'Honoo no Haramase Tenkousei', 'Honoo no Haramase Motto! Hatsuiku! Karada Sokutei 2', 'Honoo no Haramase Oppai: Ero Appli Gakuen The Animation']
animeCharacters	['Kagami, Kazuya', 'Nanamiya, Akane', 'Izunae, Meiri', 'Kurusugawa, Ranko', 'Oshino, Kasumi', 'Himekawa, Ikuyo', 'Asai, Riri', 'Ebihara, Mai', 'Homura, Nanoha', 'Narashino, Isami']
animeVoices	['Kondou, Takayuki', 'Mizusawa, Kei', 'Sakurai, Harumi', 'Narumi, Erika', 'Fujimori, Yukina', 'Aoba, Ringo', 'Ookubo, Aiko']
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Raika, Ken', 'Director'], ['Squeez', 'Original Creator']]
