animeTitle	b'Doukyuusei 2 (OVA)'
animeType	b'OVA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.61
animeUsers	350
animeRank	
animePopularity	
animeDescription	b'Based on a game by Elf. '
animeRelated	[b'Doukyuusei (OVA): Climax', b'Doukyuusei 2 (OVA) Special: Sotsugyousei']
animeCharacters	[b'Narusawa, Yui', b'Mooroka, Wataru', b'Tanaka, Misa']
animeVoices	[b'\nTachibana, Hikari\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKageyama, Shigenori\n\nDirector\n\n', b'\nELF Corporation\n\nOriginal Creator\n\n', b'\nRinshin\n\nCharacter Design\n\n', b'\nOoshiro, Tsutomu\n\nKey Animation\n\n']
