animeTitle	Hataraku Onii-san! no 2!
animeType	TV
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	6.42
animeUsers	1365
animeRank	
animePopularity	8355
animeDescription	"Second season of Hataraku Onii-san!.

Calico Tapio Chatorazawa has more energy than anyone, and Russian Blue Kuehiko Roshihara is a bit of a sourpuss. These two classmates will do all kinds of different jobs to learn how fun and hard it is to work!

(Source: Crunchyroll, edited)"
animeRelated	['Hataraku Onii-san!']
animeCharacters	['Roshihara, Kuehiko', 'Chatarozawa, Tapio', 'That Animal That Shall Not be Named', 'Gugugaga']
animeVoices	['Mizoguchi, Takuya', 'Tomita, Kentarou', 'Sugita, Tomokazu', 'Aoi, Shouta']
animeStaff	[['Usa, Yoshiki', 'Script, Series Composition, Original Creator, Chief Producer']]
