animeTitle	_Summer
animeType	OVA
animeNumEpisode	2
releaseDate	2006-10-27 00:00:00
endDate	2007-01-26 00:00:00
animeNumMembers	
animeScore	5.62
animeUsers	4750
animeRank	
animePopularity	5407
animeDescription	"“Is there any girl you love?”

By this word his friend asked during the school excursion, the protagonist, Kaizu Takumi, begins to aware of his interest in opposite sex. Of course, there are girls around him, for example, his childhood friend, Hatano Konami, his classmate, Ebizuka Shino, a school idol, Shimazu Kakana, etc. However, he himself hasn’t noticed his feelings until he is asked by his friend. He becomes anxious seeing his friend try to find his girl friend, and he resolves his mind to find a girl friend during the last summer of his high school life.

(Source: ANN)"
animeRelated	['_Summer Specials']
animeCharacters	['Hatano, Konami', 'Amano, Chiwa', 'Kaizu, Takumi', 'Ebizuka, Shino', 'Master', 'Kaizu, Sana', 'Kawakami, Yuno', 'Nanao, Hinako']
animeVoices	['Yanase, Natsumi', 'Hitomi', 'Kondou, Takashi', 'Kajita, Yuuki', 'Hanada, Hikaru', 'Nakata, Junko', 'Ashiro, Megu']
animeStaff	[['Takakuwa, Hajime', 'Sound Director'], ['Iwase, Eiji', 'Background Art, Art Director'], ['Chiba, Hiroyuki', 'Director of Photography'], ['Kohata, Miyuki', 'Color Design']]
