animeTitle	Torajima no Miime
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	275
animeRank	
animePopularity	11658
animeDescription	"A special that appeared with the Queen Emeraldas OVA, a short story dedicated to Leiji Matsumoto's beloved cat ""Mii-kun."""
animeRelated	['Torajima no Miime', 'Queen Emeraldas']
animeCharacters	['Mii-kun', 'Tori-san', 'Ooyama, Toshirou', 'Shirobota', 'Ooyama, Akiko', 'Ooyama, Atsuko', 'Chibitora', 'Ooyama, Hana']
animeVoices	['Koorogi, Satomi', 'Matsumoto, Yoshirou', 'Tatsuta, Naoki', 'Neya, Michiko', 'Urawa, Megumi', 'Nagasako, Takashi', 'Sayuri']
animeStaff	[['Matsumoto, Leiji', 'Creator'], ['Taniguchi, Moriyasu', 'Animation Director, Character Design']]
