animeTitle	Haramasete Seiryuu-kun!
animeType	OVA
animeNumEpisode	2
releaseDate	2011-06-24 00:00:00
endDate	2012-01-31 00:00:00
animeNumMembers	6294
animeScore	6.42
animeUsers	2217
animeRank	
animePopularity	6391
animeDescription	"It seems that everyone is fighting over the main character Seiryu-kun's genes!! They've even made a competition out of it! However, little do they know of the suspicious plot behind the whole situation. In any case this is a crazy school love comedy adventure! An adventure of an upperclassman and her friend trying to be impregnated!

(Source: dlsite)"
animeRelated	['Haramasete Seiryuu-kun! Jingi Naki Onna no Tatakai']
animeCharacters	['Natsuhime, Suzaku', 'Genbu, Kitami', 'Seiryuu, Tougo', 'Byakko, Akiha']
animeVoices	['Katou, Masami', 'Takada, Hatsumi', 'Mizushima, Takahiro', 'Ookubo, Aiko']
animeStaff	[['Lilith Soft', 'Original Creator'], ['Nobushito', 'Original Character Design']]
