animeTitle	Isekai Izakaya: Koto Aitheria no Izakaya Nobu
animeType	ONA
animeNumEpisode	24
releaseDate	2018-04-13 00:00:00
endDate	2018-09-14 00:00:00
animeNumMembers	
animeScore	7.41
animeUsers	10868
animeRank	
animePopularity	3309
animeDescription	"The novels center on a bar called ""Nobu""—located in Kyoto, Japan, but with a door that is connected to the bar in another world. The visitors include denizens of the other world, and customers seek out its excellent ""Toriaezu Nama"" ale and cuisine.

(Source: ANN)"
animeRelated	"['Isekai Izakaya ""Nobu""']"
animeCharacters	['Senke, Shinobu', 'Yazawa, Nobuyuki', 'Efa', 'Bertholdt', 'Gernot', 'Brentano', 'Hermina', 'Nikolaus', 'Hans']
animeVoices	['Mimori, Suzuko', 'Sugita, Tomokazu', 'Kuno, Misaki', 'Konishi, Katsuyuki', 'Tsuda, Kenjirou', 'Suwabe, Junichi', 'Morikubo, Shoutarou', 'Abe, Atsushi']
animeStaff	[['Ono, Katsumi', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Clammbon', 'Theme Song Performance'], ['Mito', 'Theme Song Arrangement, Theme Song Composition, Theme Song Lyrics']]
