animeTitle	Nyago Dance
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.98
animeUsers	141
animeRank	
animePopularity	14870
animeDescription	Several mice make a wreck of a home with their antics and dancing. The mice parents scold them for it. When the house cat comes home from a night of drinking, he convinces the mice to dance for him, at which point he spooks them by pretending to try and bite them.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
