animeTitle	Ookami to Koushinryou II
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	8.34
animeUsers	239180
animeRank	
animePopularity	376
animeDescription	"Traveling merchant Kraft Lawrence continues his northward journey with wolf goddess Holo, in search of her lost home of Yoitsu. Lawrence and his sharp-witted partner continue to make some small profits along the way, while slowly uncovering more information about Holo's hometown. However, the road to Yoitsu is a bumpy one filled with many troubles—Lawrence runs into a charming young fellow merchant who has his eyes set on the female wolf companion, and he begins to doubt if Holo will remain by his side; he and the goddess will also have to consider precarious and risky business deals as Lawrence strives to achieve his dream of becoming a shopowner. All the while, with his determination tested at every turn during his journey, Lawrence must question his relationship with Holo, take on business ventures, and ask himself whether it is time for him and Holo to go their separate ways.

[Written by MAL Rewrite]"
animeRelated	['Ookami to Koushinryou', 'Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu', 'Ookami to Koushinryou II: Holo no Short Anime']
animeCharacters	['Holo', 'Lawrence, Kraft', 'Boland, Fleur', 'Rubens, Dian', 'Amarty, Fermi', 'Mark', 'Helena', 'Deidre, Rigoro', 'Batos, Gi', 'Landt, Eau']
animeVoices	['Koshimizu, Ami', 'Fukuyama, Jun', 'Park, Romi', 'Watanabe, Akeno', 'Chiba, Saeko', 'Koyama, Rikiya', 'Nakayama, Sara', 'Uchida, Yuuya', 'Sasajima, Kaoru']
animeStaff	[['Takahashi, Takeo', 'Director, Episode Director, Storyboard'], ['Takakuwa, Hajime', 'Sound Director'], ['Yamakado, Ikuo', 'Episode Director, Key Animation, Animation Director'], ['Tokoro, Toshikatsu', 'Episode Director']]
