animeTitle	Meiying Da Leyuan
animeType	ONA
animeNumEpisode	31
releaseDate	2021-07-01 00:00:00
endDate	2021-10-14 00:00:00
animeNumMembers	30
animeScore	
animeUsers	
animeRank	17277
animePopularity	18482
animeDescription	"On the sea far from the world, there is a beautiful and strange island. On this island, there is no division between righteousness and evil, and no thrilling battles. Inhabits on the island is a group of local people who sometimes help each other and sometimes make trouble, but everyone here has a legendary past. This is the peach blossom source of the second dimension world, where the Meiying family lives.

(Source: bilibili)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
