animeTitle	Andersen Monogatari
animeType	Movie
animeNumEpisode	1
releaseDate	1968-03-19 00:00:00
endDate	
animeNumMembers	845
animeScore	5.75
animeUsers	272
animeRank	9557
animePopularity	11562
animeDescription	"Hans Christian Andersen is a little boy with a talent for making up stories. With his skill, his friends of all species, and his positive attitude, he helps brighten the lives of the people around him.

This movie contains elements of many of Andersen's tales, most prominently The Red Shoes and The Little Match Girl."
animeRelated	['Andersen Monogatari (TV)']
animeCharacters	['Karen', 'Kantokukan']
animeVoices	['Masuyama, Eiko', 'Fujimura, Arihiro']
animeStaff	[['Andersen, Hans Christian', 'Original Creator']]
