animeTitle	Otome*Domain The Animation
animeType	OVA
animeNumEpisode	1
releaseDate	2017-09-29 00:00:00
endDate	
animeNumMembers	
animeScore	6.73
animeUsers	1551
animeRank	
animePopularity	7439
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Asuka, Minato', 'Oogaki, Hinata', 'Saionji, Kazari', 'Kifune, Yuzu']
animeVoices	['Ayumi, Sarah', 'Minegishi, Yukari', 'Anzu, Hana', 'Hanakage, Hotaru']
animeStaff	[['Raika, Ken', 'Director'], ['Suzuki, Takato', 'Character Design']]
