animeTitle	Meitounao He Bugaoxing
animeType	Movie
animeNumEpisode	1
releaseDate	1962-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18923
animeDescription	"No-brain is a forgetful boy and Unhappiness is unhappy for everything. When others worry about their future, they really become grownups at once to make careers as they wish. But they make a series of troubles. 

(Source: IMDb)"
animeRelated	['Meitounao He Bugaoxing (TV)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
