animeTitle	City Hunter '91
animeType	TV
animeNumEpisode	13
releaseDate	1991-04-28 00:00:00
endDate	1991-10-10 00:00:00
animeNumMembers	
animeScore	7.76
animeUsers	6896
animeRank	
animePopularity	4263
animeDescription	"Ryo Saeba is back as the City Hunter, a ""sweeper"" (private detective) working on the streets of Tokyo. He and sidekick Kaori Makimura are hired to solve the problems of desperate people. When Ryo is not using his sharp shooting skills against bad guys, he's aiming his sites on pretty ladies. Kaori uses a giant anti-ecchi hammer to make sure he behaves. 

(Source: ANN)"
animeRelated	['City Hunter', 'City Hunter 3', 'City Hunter: The Secret Service']
animeCharacters	['Saeba, Ryou', 'Makimura, Kaori', 'Nogami, Saeko', 'Ijuuin, Hayato', 'Makimura, Hideyuki', 'Kitahara, Eriko', 'Field, Sonia', 'Miki', 'Kuwata', 'Siegfried, Hans']
animeVoices	['Kamiya, Akira', 'Ikura, Kazue', 'Ichiryuusai, Harumi', 'Genda, Tesshou', 'Shinohara, Emi', 'Matsumoto, Rica', 'Koyama, Mami', 'Ikeda, Shuuichi', 'Sasaki, Nozomu']
animeStaff	[['Egami, Kiyoshi', 'Director, Episode Director, Storyboard'], ['Urakami, Yasuo', 'Sound Director'], ['Hojo, Tsukasa', 'Original Creator'], ['Koujina, Hiroshi', 'Character Design, Key Animation, Animation Director']]
