animeTitle	Goi-sensei to Tarou
animeType	OVA
animeNumEpisode	1
releaseDate	2005-01-01 00:00:00
endDate	
animeNumMembers	203
animeScore	
animeUsers	
animeRank	15794
animePopularity	16012
animeDescription	Tarou is the only student in the class that Goi-sensei uses an honorific for. This extremely bothers Tarou as he's the only Tarou in the class and it is unneeded. Over winter break Goi-sensei is hospitalized and Tarou goes to visit him and hears the story of why he uses an honorific for Tarou.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
