animeTitle	b'Akebi-chan no Sailor-fuku'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Akebi Komichi lives out in the countryside with her family. She's won entrance to the prestigious Roubai Academy middle school for girls and now she wants only two things\xe2\x80\x94to wear the school's sailor uniform and to make a hundred friends!\n\n(Source: MAL News)"""
animeRelated	[b'Akebi-chan no Sailor-fuku']
animeCharacters	[b'Akebi, Komichi', b'Usagihara, Touko', b'Kojou, Tomono', b'Kizaki, Erika']
animeVoices	[b'\nMurakami, Manatsu\nJapanese\n', b'\nKitou, Akari\nJapanese\n', b'\nWakayama, Shion\nJapanese\n', b'\nAmamiya, Sora\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKuroki, Miyuki\n\nDirector\n\n', b'\nHamano, Takatoshi\n\nSound Director\n\n', b'\nYamazaki, Rino\n\nScript, Series Composition\n\n', b'\nKouno, Megumi\n\nCharacter Design, Chief Animation Director\n\n']
