animeTitle	Aikatsu Planet!
animeType	TV
animeNumEpisode	24
releaseDate	2021-01-10 00:00:00
endDate	2021-06-20 00:00:00
animeNumMembers	
animeScore	6.58
animeUsers	527
animeRank	
animePopularity	9079
animeDescription	"The story revolves around ""Aikatsu Planet,"" a state-of-the-art virtual world where anyone can assume the role of an avatar and becoming a most popular virtual idol. Mao Otoha, an ordinary first-year student at the private academy Seirei High School, becomes a top idol avatar Hana when Hana's previous alter ego Meisa Hinata suddenly disappeared. However, Mao's new role as the avatar Hana is a secret to everyone else.

(Source: Wikipedia)"
animeRelated	['Aikatsu!', 'Aikatsu Stars!', 'Aikatsu Friends!', 'Aikatsu on Parade!']
animeCharacters	['Hana', 'Beat', 'Ruli', 'Sala', 'Ann', 'Shiori', 'Q-pit', 'Rose', 'Katagiri, Natalie', 'Segawa, Itsuki']
animeVoices	['Date, Kaya', 'Nagao, Shizune', 'Ogura, Rio', 'Uno, Rurika', 'Amy', 'Watanabe, Rion', 'Mizuki', 'Uno, Narumi']
animeStaff	[]
