animeTitle	Fushigi no Kuni no Miyuki-chan
animeType	OVA
animeNumEpisode	2
releaseDate	1995-06-21 00:00:00
endDate	
animeNumMembers	10879
animeScore	5.69
animeUsers	5483
animeRank	9783
animePopularity	5128
animeDescription	"Miyuki, a cute girl, is in over her head. When late for school, she is suddenly transported to another world (Alice In Wonderland style), except that all the inhabitants of the other world are female...and they all seem to be in love with Miyuki. And the world behind her mirror is even weirder. 

(Source: ANN)"
animeRelated	['Fushigi no Kuni no Miyuki-chan']
animeCharacters	['Miyuki', 'Queen', 'Humpty Dumpty', 'Hatter', 'White Rabbit', 'Sumire', 'Demon', 'Five of Spades', 'Mouse', 'Li, Cho']
animeVoices	['Kouda, Mariko', 'Inoue, Kikuko', 'Katsuki, Masako', 'Shinohara, Emi', 'Nagashima, Yuuko', 'Matsumoto, Rica']
animeStaff	[['Hamatsu, Mamoru', 'Director'], ['Sayama, Kiyoko', 'Episode Director'], ['Grant, Tiffany', 'Script'], ['Ohkawa, Nanase', 'Script']]
