animeTitle	b'Ishida to Asakura Special'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.94
animeUsers	1837
animeRank	
animePopularity	
animeDescription	"b""A bonus episode aired on Tokyo MX a week after episode 12. Asakura asks why they're still there when the anime was supposed to end last week."""
animeRelated	[b'Ishida to Asakura']
animeCharacters	[b'Asakura', b'Ishida']
animeVoices	[b'\nNakamoto, Nobuhisa\nJapanese\n', b'\nMorishima, Shuuta\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMasao\n\nOriginal Creator\n\n']
