animeTitle	b'Shiroi Unabara'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Satomi Maiya's graduate work at the Tokyo University of the Arts, Graduate School of Film and New Media, Department of Animation. A mother secretly threw a letter written by her daughter into the snow-covered ocean. The suspicious daughter follows her mother by sneaking on a rowboat with her."""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
