animeTitle	Cluster Edge Specials
animeType	Special
animeNumEpisode	3
releaseDate	2006-09-22 00:00:00
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	250
animeRank	
animePopularity	10554
animeDescription	"Three specials released with DVD volume 9 of the TV series.

Episode 1: The Day of Gathering
Past event about Chalce and Chrome's group, of how the three youngest members came to join them. 

Episode 2: White Footmarks
Past event about Chalce transfer into Cluster E.A, his meeting with Hema and how he elicted the hatred from the competitive Vesuvia. 

Episode 3: Wings of Freedom 
A strange girl appears in Cluster E A, looking for Fon. Is she there for a visit or something else? Will she find her answer amongst Fon and his friends? 

(Source: Wikipedia)"
animeRelated	['Cluster Edge']
animeCharacters	['Fluorite, Agate', 'Chrome', 'Jasper, Beryl', 'Renierite, Chalcedony', 'Aina Sulfur, Fon', 'No. 1 (Chrome Team)', 'Valentino, Besubia', 'Ramsbeckite, Hematite']
animeVoices	['Shimono, Hiro', 'Yoshino, Hiroyuki', 'Fukuyama, Jun', 'Inoue, Gou', 'Kishio, Daisuke', 'Saiga, Mitsuki', 'Kiuchi, Hidenobu']
animeStaff	[['Oonogi, Hiroshi', 'Series Composition']]
