animeTitle	b'Yuyushiki: Nyanyashiki'
animeType	b'Special'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.28
animeUsers	5197
animeRank	
animePopularity	
animeDescription	b'Specials bundled with the BD/DVD volumes.'
animeRelated	[b'Yuyushiki', b'Yuyushiki: Komarasetari, Komarasaretari']
animeCharacters	[b'Ichii, Yui', b'Nonohara, Yuzuko', b'Hinata, Yukari']
animeVoices	[b'\nTsuda, Minami\nJapanese\n', b'\nOokubo, Rumi\nJapanese\n', b'\nTaneda, Risa\nJapanese\n']
animeStaff	[]
