animeTitle	Picchipichi Shizuku-chan
animeType	TV
animeNumEpisode	52
releaseDate	2012-10-05 00:00:00
endDate	2013-09-27 00:00:00
animeNumMembers	263
animeScore	
animeUsers	
animeRank	12764
animePopularity	15036
animeDescription	Third season of Pururun! Shizuku-chan.
animeRelated	['Pururun! Shizuku-chan Aha']
animeCharacters	['Namida-kimi', 'Uruoi-chan', 'Mirumiru-chan', 'Koron-kun', 'Shizuku-chan', 'Aseo-kun', 'Miku-chan']
animeVoices	['Ishii, Makoto', 'Yuzuki, Ryouka', 'Narita, Sayaka', 'Yasumura, Makoto', 'Itou, Miyako', 'Kawazu, Yasuhiko', 'Hara, Sayuri']
animeStaff	[['Yamaura, Muneharu', '2nd Key Animation']]
