animeTitle	Trapp Ikka Monogatari
animeType	TV
animeNumEpisode	40
releaseDate	
endDate	
animeNumMembers	
animeScore	7.63
animeUsers	2661
animeRank	
animePopularity	6242
animeDescription	"Based on the same story that produced the classic musical 'The Sound of Music', this is the story of Maria, who leaves her life in a convent to take up the responsibility of taking care of Captain Trapp's children.

(Source: ANN)"
animeRelated	['Trapp Ikka Monogatari Specials']
animeCharacters	['Kutschera, Maria', 'von Trapp, Rupert', 'von Trapp, Martina', 'von Trapp, Maria', 'von Trapp, Agathe', 'von Trapp, Werner ', 'von Trapp, Hedwig', 'von Trapp, Johanna', 'von Trapp, Georg', 'Rafaela']
animeVoices	['Katsuki, Masako', 'Adachi, Shinobu', 'Sugimoto, Saori', 'Shiratori, Yuri', 'Watanabe, Naoko', 'Matsuoka, Youko', 'Kawamura, Maria', 'Ishikawa, Hiromi', 'Hori, Katsunosuke']
animeStaff	[['Kusuba, Kouzou', 'Director'], ['Sokuza, Makoto', 'Episode Director, Storyboard'], ['Nakanishi, Nobuaki', 'Episode Director, Storyboard, Assistant Director'], ['Kaga, Tsuyoshi', 'Episode Director, Storyboard']]
