animeTitle	Nineteen 19
animeType	OVA
animeNumEpisode	1
releaseDate	1990-07-27 00:00:00
endDate	
animeNumMembers	3428
animeScore	6.07
animeUsers	1309
animeRank	8319
animePopularity	8041
animeDescription	19-year-old Kubota is ready to find a girlfriend. The perfect chance arises when he meets Masana Fujisaka, his first love, in a club. She's just broken up with her longtime boyfriend and is surprised to run into Kubota, who sees that the perfect opportunity has just arisen.
animeRelated	['Nineteen']
animeCharacters	['Fujisaki, Masana', 'Kubota, Kazushi', 'Kusano, Hiroaki', 'Yagi', 'Kawahara, Kazuya']
animeVoices	['Tsuru, Hiromi', 'Onosaka, Masaya', 'Yamaguchi, Kappei', 'Koyasu, Takehito', 'Yamadera, Kouichi']
animeStaff	[['Chigira, Kouichi', 'Director'], ['Kadomatsu, Toshiki', 'Theme Song Performance, Theme Song Arrangement, Theme Song Composition, Theme Song Lyrics, Inserted Song Performance'], ['Onda, Naoyuki', 'Animation Director, Character Design'], ['Kitagawa, Shou', 'Original Creator']]
