animeTitle	Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru
animeType	TV
animeNumEpisode	10
releaseDate	2013-10-10 00:00:00
endDate	2013-12-12 00:00:00
animeNumMembers	363833
animeScore	7.21
animeUsers	192441
animeRank	2809
animePopularity	455
animeDescription	"For Kanade Amakusa, life as a high schooler should have been normal, and it would have been—if he wasn't living with the most ridiculous curse imaginable. ""Absolute Choice,"" a system forced upon him by a self-proclaimed god, randomly presents a mental selection of actions that he must act out based on his choice. To add to his dilemma, it tends to occur in the most public of places, and his options never seem to deviate from the rude and crude in nature.

As a result, the helpless boy stresses through each day, fumbling to repair his already tarnished reputation while desperately praying to avoid the next spontaneous episode of Absolute Choice. To his dismay, the one in charge is always one step ahead of him and proceeds to not-so-subtly ""choice"" him into the lives of several girls at his school. Just when Kanade's school life can't seem to be doomed any further, a decision that he reluctantly selects on the way home sends a beautiful girl crashing down from the sky, along with the promise of more hysterically hellish choices.

[Written by MAL Rewrite]"
animeRelated	['Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama shiteiru', 'Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA']
animeCharacters	['Yukihira, Furano', 'Chocolat', 'Yuuouji, Ouka', 'Amakusa, Kanade', 'Douraku, Utage', 'Kokubyakuin, Seira', 'Reikadou, Ayame', 'Hakoniwa, Yuragi', 'Yawakaze, Konagi', 'Kami']
animeVoices	['Kondou, Yui', 'Sadohara, Kaori', 'Tsuji, Ayumi', 'Toyonaga, Toshiyuki', 'Yajima, Akiko', 'Igarashi, Hiromi', 'Matsuzaki, Rei', 'Oozora, Naomi', 'Misato', 'Tachibana, Shinnosuke']
animeStaff	[['Inagaki, Takayuki', 'Director'], ['Yamaguchi, Takayuki', 'Sound Director'], ['Takashima, Daisuke', 'Episode Director'], ['Moriwaki, Makoto', 'Episode Director, Storyboard']]
