animeTitle	b'BanG Dream!: Asonjatta!'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.08
animeUsers	5114
animeRank	
animePopularity	
animeDescription	b'Unaired episode included with the 7th Blu-ray volume of BanG Dream!.'
animeRelated	[b'BanG Dream!']
animeCharacters	[b'Ichigaya, Arisa', b'Toyama, Kasumi', b'Yamabuki, Saaya', b'Hanazono, Tae', b'Ushigome, Rimi', b'Minato, Yukina', b'Imai, Lisa', b'Hikawa, Sayo', b'Shirokane, Rinko', b'Udagawa, Ako']
animeVoices	[b'\nItou, Ayasa\nJapanese\n', b'\nTerakawa, Aimi\nJapanese\n', b'\nOhashi, Ayaka\nJapanese\n', b'\nOotsuka, Sae\nJapanese\n', b'\nNishimoto, Rimi\nJapanese\n', b'\nAiba, Aina\nJapanese\n', b'\nEndou, Yurika\nJapanese\n', b'\nKudou, Haruka\nJapanese\n', b'\nAkesaka, Satomi\nJapanese\n', b'\nSakuragawa, Megu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nRoselia\n\nTheme Song Performance\n\n', b'\nAgematsu, Noriyasu\n\nMusic\n\n', b'\nFujita, Junpei\n\nMusic\n\n', b'\nNakamura, Kou\n\nOriginal Creator\n\n']
