animeTitle	Dr. Slump Movie 04: Arale-chan Hoyoyo! Nanaba Shiro no Hihou
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	444
animeRank	
animePopularity	10361
animeDescription	"Dr. Slump found the secret treasure named “Eye of Rainbow” of legendary Nanaba Castle in the mountain. This treasure makes every dream come true. When the robbery gang of Arale, Ga-chan tried to steal this treasure, Bisna who is the descendant of Nanaba Kingdom took the treasure. Bisna wanted to revive the devil and Nanaba Kingdom. Arale and her friends went towards the secret Nanaba Castle to get back the treasure. 

(Source: Official Website)"
animeRelated	['Dr. Slump: Arale-chan']
animeCharacters	['Norimaki, Arale', 'Norimaki, Gajira', 'Soramame, Tarou', 'Kimidori, Akane', 'Soramame, Peasuke', 'Norimaki, Senbei', 'Suppaman', 'Obotchaman', 'Norimaki, Turbo', 'Tsun, Tsururin']
animeVoices	['Koyama, Mami', 'Furukawa, Toshio', 'Sugiyama, Kazuko', 'Jinbo, Naomi', 'Utsumi, Kenji', 'Genda, Tesshou', 'Horie, Mitsuko']
animeStaff	[['Toriyama, Akira', 'Original Creator'], ['Kikuchi, Shunsuke', 'Music'], ['Suda, Masami', 'Key Animation'], ['Maeda, Minoru', 'Key Animation, Animation Director, Character Design']]
