animeTitle	Gunma-chan
animeType	TV
animeNumEpisode	39
releaseDate	2021-10-03 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14268
animeDescription	"An anime series based on the Gunma Prefecture mascot character, Gunma-chan.

(Source: Anilist)

The first episode was streamed in advance for a limited time on September 17, 2021 on YouTube. Regular broadcasting began on October 3, 2021."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
