animeTitle	b'Dance with Devils'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.28
animeUsers	46687
animeRank	
animePopularity	
animeDescription	"b'Ritsuka Tachibana has always been a good student, so she is completely shocked when she is suddenly summoned by the student council. Even more, they seem to think of Ritsuka as a troublemaker. Led by the handsome Rem Kaginuki, the student council\xe2\x80\x94also consisting of Urie Sogami, Shiki Natsumizaka and Mage Nanashiro\xe2\x80\x94tries to question her, but it soon becomes clear that they have ulterior motives. \n\nHowever, this is only the beginning. When her mother gets kidnapped, her life is turned upside down, and Ritsuka gets drawn into a world of vampires and devils. Both groups are searching for the ""Grimoire,"" a forbidden item allowing its owner to rule the world. The return of her brother Lindo from overseas gives her hope, but even he appears to be hiding something. In a world filled with secrets, Ritsuka questions whom she can trust in this dark musical tale, while the handsome and dangerous members of the student council compete for her attention. \n\n[Written by MAL Rewrite]'"
animeRelated	[b'Dance with Devils: Blight', b'Dance with Devils: Fortuna']
animeCharacters	[b'Natsumezaka, Shiki', b'Tachibana, Lindo', b'Kaginuki, Rem', b'Nanashiro, Mage', b'Sogami, Urie', b'Tachibana, Ritsuka', b'Roen', b'Kuzuha, Azuna', b'Jek']
animeVoices	[b'\nHirakawa, Daisuke\nJapanese\n', b'\nHatano, Wataru\nJapanese\n', b'\nSaitou, Souma\nJapanese\n', b'\nKimura, Subaru\nJapanese\n', b'\nKondou, Takashi\nJapanese\n', b'\nAkaneya, Himika\nJapanese\n', b'\nSuzuki, Tatsuhisa\nJapanese\n', b'\nYamamoto, Kazutomi\nJapanese\n', b'\nMatsuda, Risae\nJapanese\n', b'\nSuzuki, Yuto\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshimura, Ai\n\nDirector\n\n', b'\nNagasaki, Yukio\n\nSound Director\n\n', b'\nTakahashi, Hideya\n\nEpisode Director, Storyboard\n\n', b'\nMarchi, Jamie\n\nScript\n\n']
