animeTitle	Momotarou: Umi no Shinpei
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.19
animeUsers	899
animeRank	
animePopularity	9369
animeDescription	"A monkey, a dog, a pheasant, and a bear travel southward after resting in their villages at the foot of Mt. Fuji. A squadron flies to Onigashima under the command of Momotarou. Parachutes blossom in the sky. Momotarou and company will take over the island after a swift and successful mission. The village children pretend parachuting with glee as they run towards Mt. Fuji.

(Source: Imagica)"
animeRelated	['Momotarou no Umiwashi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
