animeTitle	Time Bokan Series: Time Patroltai Otasukeman
animeType	TV
animeNumEpisode	53
releaseDate	1980-02-02 00:00:00
endDate	1981-01-31 00:00:00
animeNumMembers	919
animeScore	6.18
animeUsers	264
animeRank	7800
animePopularity	11344
animeDescription	"Burning with ambitions to become the most beautiful woman, the most renowned scientist, and the greatest hero the world has ever known, three villains, Atasha, Sekobitchi and Duwarusuki, unite. The trio are Time Patrollers, the keepers and protectors of the annals of history. But, this is only a cover for the trio, as the villains are league with a nefarious leader, who is trying to alter the course of history to suit his desires, and, under his instructions, the trio travel in time with the aim of tampering with recorded history. Only Hikaru and Nana, disguised as the Otasukemen, stand between the villains and their goals. 

(Source: Wikipedia) "
animeRelated	['Time Bokan']
animeCharacters	['Hikaru', 'Nana', 'Hinebot', 'Dowalski', 'Atasha', 'Sekobicchi', 'Chief Tonnan', 'Gekigasuki', 'Tonmanomanto', 'Narrator']
animeVoices	['Mizushima, Yuu', 'Shimazu, Saeko', 'Tatekabe, Kazuya', 'Ohara, Noriko', 'Yanami, Jouji', 'Takiguchi, Junpei', 'Yamamoto, Masayuki', 'Ikeda, Masaru', 'Tomiyama, Kei']
animeStaff	[['Mizumura, Juuji', 'Episode Director, Animation Director'], ['Shigino, Akira', 'Episode Director'], ['Saijou, Takashi', 'Episode Director, Animation Director'], ['Koyama, Takao', 'Script']]
