animeTitle	Marmalade Boy Movie
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.34
animeUsers	4099
animeRank	
animePopularity	5423
animeDescription	"A prelude to Marmalade Boy the TV series. Yuu remembers the day when his parents decided to divorce each other and remarry with another married couple. Troubled by the news, Yuu decides to take a walk, on which he spots a girl he falls in love with at first sight. He decides to follow this unaware girl and falls more in love with her. However he discovers who the girl really is...she's the daughter of his parents' new lovers. 

(Source: ANN)"
animeRelated	['Marmalade Boy']
animeCharacters	['Koishikawa, Miki', 'Matsuura, Yuu', 'Akizuki, Meiko', 'Suou, Ginta', 'Koishikawa, Jin']
animeVoices	['Kouda, Mariko', 'Okiayu, Ryoutarou', 'Yamazaki, Wakana']
animeStaff	[['Umakoshi, Yoshihiko', 'Animation Director'], ['Yoshizumi, Wataru', 'Original Creator'], ['Seki, Hiromi', 'Executive Producer'], ['Hamasu, Hideki', 'Key Animation']]
