animeTitle	Pokemon Generations
animeType	ONA
animeNumEpisode	18
releaseDate	2016-12-09 00:00:00
endDate	2017-02-02 00:00:00
animeNumMembers	45950
animeScore	7.46
animeUsers	27563
animeRank	1758
animePopularity	2628
animeDescription	"Pokémon Generations revisits each generation of the Pokémon video game series to shed new light on some timeless moments. From the earliest days in the Kanto region to the splendor of the Kalos region, go behind the scenes and witness Pokémon history with new eyes!

(Source: Official site)"
animeRelated	['Pokemon']
animeCharacters	['Pikachu', 'Ookido, Green', 'Wataru', 'Handsome', 'Mari', 'Red', 'N', 'Shirona', 'Silver', 'Iris']
animeVoices	['Orikasa, Fumiko', 'Fukuyama, Jun', 'Hosoya, Yoshimasa', 'Fujiwara, Keiji', 'Sakamoto, Maaya', 'Ishida, Akira', 'Endou, Aya', 'Oosaka, Ryouta', 'Hidaka, Rina']
animeStaff	[['Imai, Arifumi', 'Episode Director, Storyboard, Animation Director, Key Animation'], ['Yaginuma, Kazuyoshi', 'Episode Director, Storyboard'], ['Ajiki, Kei', 'Episode Director, Storyboard'], ['Yoshinari, Kou', 'Key Animation']]
