animeTitle	Tousan no Kiteki
animeType	Music
animeNumEpisode	1
releaseDate	2018-04-02 00:00:00
endDate	
animeNumMembers	185
animeScore	
animeUsers	
animeRank	13932
animePopularity	16276
animeDescription	Yu Sakai, the composer and singer of the song, found his 4th grade diary at his parents' house. Within the pages he recounted how scary his fisherman father was. As an adult, it seems like every time Sakai returns home, his father's back seems smaller and smaller.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
