animeTitle	Wakusei Robo Danguard Ace: Uchuu Daikaisen
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.66
animeUsers	171
animeRank	
animePopularity	12618
animeDescription	"Doppler has set up a trap for the Jasdam, and it is up to the Danguard Ace to save it. 

(Source: AniDB)"
animeRelated	['Wakusei Robo Danguard Ace']
animeCharacters	['Ichimonji, Takuma', 'Oboshi, Hideto', 'Hechi', 'Harken, Tony', 'Emperor Doppler', 'Arai, Miyoko', 'Tamaga', 'Dr. Oedo', 'Arai, Banta', 'Lisa']
animeVoices	['Kamiya, Akira', 'Furukawa, Toshio', 'Yanami, Jouji', 'Yamada, Keaton', 'Ginga, Banjou', 'Kikuchi, Hiroko', 'Tomita, Kousei', 'Ootake, Hiroshi', 'Yoshida, Rihoko']
animeStaff	[['Matsumoto, Leiji', 'Original Creator'], ['Kanemori, Yoshinori', 'Animation Director']]
