animeTitle	b'Black Shout'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.92
animeUsers	1269
animeRank	
animePopularity	
animeDescription	b'Music video of the project band Roselia.'
animeRelated	[b'Yes! BanG_Dream!', b'Star Beat!: Hoshi no Kodou', b'Hashiri Hajimeta bakari no Kimi ni', b'Neo-Aspect', b'BanG Dream!']
animeCharacters	[b'Minato, Yukina', b'Imai, Lisa', b'Hikawa, Sayo', b'Shirokane, Rinko', b'Udagawa, Ako']
animeVoices	[b'\nAiba, Aina\nJapanese\n', b'\nEndou, Yurika\nJapanese\n', b'\nKudou, Haruka\nJapanese\n', b'\nAkesaka, Satomi\nJapanese\n', b'\nSakuragawa, Megu\nJapanese\n']
animeStaff	[]
