animeTitle	Sankarea: Wagahai mo... Zombie de Aru...
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.24
animeUsers	42731
animeRank	
animePopularity	1943
animeDescription	"Extra episode included on BD/DVD vol. 6; effectively episode 13. 

Despite their decaying bodies, Rea’s zombie power comes in handy both at school and at home, and Babu gets interested in another cat—although this particular feline is one of the living.

(Source: FUNimation)"
animeRelated	['Sankarea', 'Sankarea OVA']
animeCharacters	['Sanka, Rea', 'Furuya, Chihiro', 'Baabu', 'Furuya, Mero', 'Saouji, Ranko', 'Kurumiya, Darin Arnschent', 'Yasuda', '18', 'Shino, Heren', 'Mogi']
animeVoices	['Uchida, Maaya', 'Kimura, Ryouhei', 'Fukuen, Misato', 'Yahagi, Sayuri', 'Kusumi, Aiko', 'Iwase, Shuuhei', 'Mikami, Shiori', 'Hayashi, Saori']
animeStaff	[['Omata, Shinichi', 'Director'], ['nano.RIPE', 'Theme Song Composition, Theme Song Lyrics, Theme Song Performance, Theme Song Arrangement'], ['Annabel', 'Theme Song Performance, Theme Song Lyrics'], ['myu', 'Theme Song Composition, Theme Song Arrangement']]
