animeTitle	Gurazeni Season 2
animeType	TV
animeNumEpisode	12
releaseDate	2018-10-05 00:00:00
endDate	2018-12-21 00:00:00
animeNumMembers	
animeScore	6.73
animeUsers	2200
animeRank	
animePopularity	7523
animeDescription	Second season of Gurazeni.
animeRelated	['Gurazeni']
animeCharacters	['Bonda, Natsunosuke', 'Shiraki', 'Nishigouchi, Hiroshi', 'Nishigouchi, Wife', 'Shouno', 'Ogiwara', 'Sekijima', 'Itsuki, Mother-in-law', 'Korekawa', 'Jinno, Jirou']
animeVoices	['Ochiai, Fukushi', 'Toki, Shunichi', 'Kase, Yasuyuki', 'Toujou, Hisako', 'Horii, Chado', 'Makishima, Naoki', 'Ishikari, Yuki', 'Kamei, Yoshiko', 'Hino, Satoshi', 'Tsujitani, Kouji']
animeStaff	[['Adachi, Keiji', 'Original Character Design'], ['Moritaka, Yuuji', 'Original Creator']]
