animeTitle	b'Kaizoku Ouji'
animeType	b'TV'
animeNumEpisode	31
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Kid was brought up on a small island which floats on the Carribean Sea. He lives a pleasant life with many animals as his companions. However, this changes when he learns that his dying father is not his real father. Before he passes away, his foster father reveals to Kid that his real father is actually Captain Morgan, the pirate who rules the seven seas. \n\nKid decides to set off in search of his real father, only to learn about his death. Other pirates began to hunger for the title of ruler, one of them being the notorious pirate Tiger Hook. In order to protect the seas, Kid became the pirate king of his father's ship.\n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Kid', b'Clapp', b'Tora Fugu']
animeVoices	[b'\nFuruya, Toru\nJapanese\n', b'\nKiyama, Hiroshi\nJapanese\n', b'\nNagai, Ichiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYabuki, Kimio\n\nEpisode Director\n\n', b'\nKuroda, Yoshio\n\nEpisode Director\n\n', b'\nWakabayashi, Ichirou\n\nScript\n\n', b'\nMiyazaki, Naoshi\n\nTheme Song Arrangement, Theme Song Composition\n\n']
