animeTitle	Karakurizoushi Ayatsuri Sakon
animeType	TV
animeNumEpisode	26
releaseDate	1999-10-08 00:00:00
endDate	2000-03-31 00:00:00
animeNumMembers	
animeScore	7.38
animeUsers	2620
animeRank	
animePopularity	5231
animeDescription	"The dark-haired bishounen is Sakon Tachibana, a puppeteer, and the other is Ukon, his favorite puppet, and best friend. Sakon is the (only) grandson of Saemon Tachibana, a national treasure of Japan famous for his manipulation of Bunraku puppets. Ukon is a child doll puppet made in the early Meiji era by the famous female dollmaker Unosuke. Together they run into murders and solve them.

(Source: AnimeNfo)"
animeRelated	['Karakurizoushi Ayatsuri Sakon']
animeCharacters	['Tachibana, Sakon', 'Ukon', 'Kobayashi, Toshio', 'Kitamura, Kouji', 'Shiguresaki, Ayano', 'Tachibana, Kaoruko', 'Akizuki, Futaba', 'Satou, Yuriko', 'Fujita, Zenkichi', 'Yoshida, Kenji']
animeVoices	['Ogata, Megumi', 'Kumai, Motoko', 'Nakata, Jouji', 'Nakai, Kazuya', 'Inoue, Kikuko', 'Yamada, Miho', 'Tanaka, Atsuko', 'Shinohara, Emi', 'Okiayu, Ryoutarou', 'Hosoi, Osamu']
animeStaff	[['Matsui, Hitoyuki', 'Director'], ['Kobayashi, Katsuyoshi', 'Sound Director'], ['Hayashi, Soutarou', 'Script'], ['Arai, Akino', 'Theme Song Performance']]
