animeTitle	b'Gudetama'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	7.03
animeUsers	1949
animeRank	
animePopularity	
animeDescription	b'Gudetama, an egg that is dead to the world and completely lacks motivation. No matter what cooking method you use, Gudetama remains unmoved.\n\n(Source: ANN)'
animeRelated	[b'Hot Minute: Gudetama', b'JRA x Gudetama', b'Sawatte! Gudetama: 3-dome no Shoujiki']
animeCharacters	[b'Gudetama', b'Nisetama-san']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nWagner, Richard\n\nMusic\n\n']
