animeTitle	Chikan Densha
animeType	OVA
animeNumEpisode	2
releaseDate	2003-02-14 00:00:00
endDate	2003-05-09 00:00:00
animeNumMembers	
animeScore	6.21
animeUsers	1609
animeRank	
animePopularity	7607
animeDescription	Kazuo Sugimoto is your typical young salaryman until he is wrongfully accused of molesting a girl on a train and forced to confess. After finding and confronting the true culprit, Kazuo becomes the man's 500th apprentice in Chikan-do: The Way of the Groper. Follow Kazuo's saga as he learns strategies such as The Berlin Wall, The Battle of Odawara and works to master his own technique The Gold Finger. Chikan-do: It will change the way you think.
animeRelated	['Shuudan Chikan Densha']
animeCharacters	['Sumikawa, Reiko', 'Sugimoto, Kazuo', 'Yasu']
animeVoices	[]
animeStaff	[['Suginami, Daifuku', 'Director, Character Design']]
