animeTitle	Toushi Gordian
animeType	TV
animeNumEpisode	73
releaseDate	1979-10-07 00:00:00
endDate	1981-02-22 00:00:00
animeNumMembers	
animeScore	6.25
animeUsers	202
animeRank	
animePopularity	11619
animeDescription	"The Earth had become a wasteland of deserts as the survivors work to rebuild communities. Daigo Otaki is a young orphan raised by his uncle. Becoming an adult, Daigo discovers that Victor City was in fact planned by his father who was a genius scientist. Daigo's sister Saori had been managing it. She plead Daigo to take on the inheritance that Daigo's father left him, a super robot system known as Gordian. Daigo would join the Mechacon mechanic combat 18th regiment unit, an organization of law enforcers that defend Victor City against attacks from the Madokuta organization.

(Source: Gordian Warrior, Wikipedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
